,precision,recall,f1-score,support
negative,0.30434782608695654,0.4260869565217391,0.3550724637681159,115.0
neutral,0.6452991452991453,0.5288966725043783,0.5813282001924929,571.0
positive,0.34523809523809523,0.4157706093189964,0.37723577235772354,279.0
micro avg,0.48393782383419687,0.48393782383419687,0.48393782383419687,965.0
macro avg,0.43162835554139906,0.4569180794483713,0.4378788121061108,965.0
weighted avg,0.5179142388986949,0.48393782383419687,0.49535804780419856,965.0
accuracy,0.48393782383419687,0.48393782383419687,0.48393782383419687,0.48393782383419687
