,precision,recall,f1-score,support
negative,0.39382934965669125,0.300816023165946,0.3399266103693887,120.8
neutral,0.7420555083191152,0.5088133848050992,0.6036116428649099,573.8
positive,0.4019358370340905,0.7107755774190346,0.5133698253608593,272.4
micro avg,0.539600231393091,0.539600231393091,0.539600231393091,967.0
macro avg,0.5126068983366323,0.5068016617966933,0.4856360261983859,967.0
weighted avg,0.6028357951190342,0.539600231393091,0.54522673183063,967.0
accuracy,0.539600231393091,0.539600231393091,0.539600231393091,0.539600231393091
