,precision,recall,f1-score,support
negative,0.22682513777026142,0.4465354209390706,0.3006404198291384,120.8
neutral,0.6070328055632153,0.36000269527141693,0.451846338962471,573.8
positive,0.31686113573850905,0.4528183364866546,0.3728256080365035,272.4
micro avg,0.39689620203848575,0.39689620203848575,0.39689620203848575,967.0
macro avg,0.38357302635732854,0.41978548423238077,0.37510412227603757,967.0
weighted avg,0.47778382861106455,0.39689620203848575,0.4107022550957625,967.0
accuracy,0.39689620203848575,0.39689620203848575,0.39689620203848575,0.39689620203848575
