,precision,recall,f1-score,support
negative,0.20408163265306123,0.390625,0.2680965147453083,128.0
neutral,0.6269113149847095,0.3621908127208481,0.4591265397536395,566.0
positive,0.34430379746835443,0.4981684981684982,0.40718562874251496,273.0
micro avg,0.4043433298862461,0.4043433298862461,0.4043433298862461,967.0
macro avg,0.39176558170204173,0.4169947702964487,0.3781362277471542,967.0
weighted avg,0.4911573836295742,0.4043433298862461,0.41917647573388417,967.0
accuracy,0.4043433298862461,0.4043433298862461,0.4043433298862461,0.4043433298862461
