,precision,recall,f1-score,support
negative,0.24867724867724866,0.5802469135802469,0.34814814814814815,81.0
neutral,0.6254681647940075,0.3901869158878505,0.48057553956834537,428.0
positive,0.24358974358974358,0.3149171270718232,0.2746987951807229,181.0
micro avg,0.3927536231884058,0.3927536231884058,0.3927536231884058,690.0
macro avg,0.3725783856869999,0.4284503188466402,0.3678074942990721,690.0
weighted avg,0.4810622829919362,0.3927536231884058,0.41102436646806184,690.0
accuracy,0.3927536231884058,0.3927536231884058,0.3927536231884058,0.3927536231884058
