,precision,recall,f1-score,support
negative,0.5607476635514018,0.7407407407407407,0.6382978723404256,81.0
neutral,0.816017316017316,0.8808411214953271,0.847191011235955,428.0
positive,0.8181818181818182,0.5469613259668509,0.6556291390728477,181.0
micro avg,0.7768115942028986,0.7768115942028986,0.7768115942028986,690.0
macro avg,0.731648932583512,0.7228477294009729,0.7137060075497428,690.0
weighted avg,0.7866186682521505,0.7768115942028986,0.7724184849865922,690.0
accuracy,0.7768115942028986,0.7768115942028986,0.7768115942028986,0.7768115942028986
