,precision,recall,f1-score,support
negative,0.30952380952380953,0.41935483870967744,0.3561643835616438,93.0
neutral,0.6714285714285714,0.5529411764705883,0.6064516129032258,425.0
positive,0.32242990654205606,0.4011627906976744,0.35751295336787564,172.0
micro avg,0.4971014492753623,0.4971014492753623,0.4971014492753623,690.0
macro avg,0.43446076249814564,0.4578196019593134,0.4400429832775818,690.0
weighted avg,0.535653334881291,0.4971014492753623,0.5106629726585196,690.0
accuracy,0.4971014492753623,0.4971014492753623,0.4971014492753623,0.4971014492753623
