,precision,recall,f1-score,support
negative,0.20812182741116753,0.41414141414141414,0.27702702702702703,99.0
neutral,0.6169491525423729,0.36254980079681276,0.45671267252195735,502.0
positive,0.34097421203438394,0.49583333333333335,0.4040747028862479,240.0
micro avg,0.40665873959571935,0.40665873959571935,0.40665873959571935,841.0
macro avg,0.3886817306626415,0.4241748494238535,0.3792714674784108,841.0
weighted avg,0.4900669992606765,0.40665873959571935,0.4205390796366204,841.0
accuracy,0.40665873959571935,0.40665873959571935,0.40665873959571935,0.40665873959571935
