,precision,recall,f1-score,support
negative,0.2422907488986784,0.44715447154471544,0.3142857142857143,123.0
neutral,0.5977337110481586,0.36695652173913046,0.45474137931034486,575.0
positive,0.2997416020671835,0.4312267657992565,0.3536585365853659,269.0
micro avg,0.39503619441571874,0.39503619441571874,0.3950361944157187,967.0
macro avg,0.3799220206713401,0.41511258636103415,0.37422854339380834,967.0
weighted avg,0.46962682205098344,0.39503619441571874,0.40875654839922915,967.0
accuracy,0.39503619441571874,0.39503619441571874,0.39503619441571874,0.39503619441571874
