,precision,recall,f1-score,support
negative,0.36036036036036034,0.45977011494252873,0.40404040404040403,87.0
neutral,0.6676300578034682,0.5397196261682243,0.5968992248062016,428.0
positive,0.3232758620689655,0.43103448275862066,0.3694581280788177,174.0
micro avg,0.502177068214804,0.502177068214804,0.502177068214804,689.0
macro avg,0.4504220934109313,0.47684140795645796,0.45679925230847446,689.0
weighted avg,0.5418679478827805,0.502177068214804,0.5151089951440984,689.0
accuracy,0.502177068214804,0.502177068214804,0.502177068214804,0.502177068214804
