,precision,recall,f1-score,support
negative,0.5365853658536586,0.7586206896551724,0.6285714285714286,87.0
neutral,0.8215102974828375,0.8387850467289719,0.8300578034682081,428.0
positive,0.7286821705426356,0.5402298850574713,0.6204620462046204,174.0
micro avg,0.7532656023222061,0.7532656023222061,0.7532656023222062,689.0
macro avg,0.6955926112930438,0.7125452071472052,0.693030426081419,689.0
weighted avg,0.7620900316782894,0.7532656023222061,0.7516848333958074,689.0
accuracy,0.7532656023222061,0.7532656023222061,0.7532656023222061,0.7532656023222061
