,precision,recall,f1-score,support
negative,0.35353535353535354,0.5645161290322581,0.4347826086956522,62.0
neutral,0.7370689655172413,0.6,0.6615087040618955,285.0
positive,0.36666666666666664,0.4230769230769231,0.3928571428571428,104.0
micro avg,0.5543237250554324,0.5543237250554324,0.5543237250554324,451.0
macro avg,0.48575699523975385,0.5291976840363938,0.4963828185382302,451.0
weighted avg,0.5989294466184901,0.5543237250554324,0.5683894573257505,451.0
accuracy,0.5543237250554324,0.5543237250554324,0.5543237250554324,0.5543237250554324
