,precision,recall,f1-score,support
negative,0.39285714285714285,0.4536082474226804,0.4210526315789474,97.0
neutral,0.6703296703296703,0.8522954091816367,0.750439367311072,501.0
positive,0.6923076923076923,0.2603305785123967,0.3783783783783784,242.0
micro avg,0.6357142857142857,0.6357142857142857,0.6357142857142857,840.0
macro avg,0.5851648351648352,0.522078078372238,0.5166234590894659,840.0
weighted avg,0.6446199633699633,0.6357142857142857,0.6052140426828244,840.0
accuracy,0.6357142857142857,0.6357142857142857,0.6357142857142857,0.6357142857142857
