,precision,recall,f1-score,support
negative,0.3867924528301887,0.45054945054945056,0.4162436548223351,91.0
neutral,0.650137741046832,0.5728155339805825,0.6090322580645161,412.0
positive,0.33636363636363636,0.3978494623655914,0.36453201970443355,186.0
micro avg,0.5094339622641509,0.5094339622641509,0.5094339622641509,689.0
macro avg,0.457764610080219,0.47373814896520816,0.46326931086376155,689.0
weighted avg,0.5306509417742792,0.5094339622641509,0.5175651938700112,689.0
accuracy,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509
