,precision,recall,f1-score,support
negative,0.5460526315789473,0.7217391304347827,0.6217228464419476,115.0
neutral,0.751188589540412,0.830122591943958,0.7886855241264559,571.0
positive,0.7197802197802198,0.46953405017921146,0.5683297180043384,279.0
micro avg,0.7129533678756477,0.7129533678756477,0.7129533678756478,965.0
macro avg,0.6723404802998597,0.6737985908526506,0.6595793628575807,965.0
weighted avg,0.7176615736557881,0.7129533678756477,0.705079329471752,965.0
accuracy,0.7129533678756477,0.7129533678756477,0.7129533678756477,0.7129533678756477
