,precision,recall,f1-score,support
negative,0.25623353467247273,0.46897055229716517,0.3309940916879547,60.6
neutral,0.6016932857266232,0.39882526257262446,0.47896582408806515,277.2
positive,0.22841686614613205,0.3131684981684982,0.2636852113857914,114.0
micro avg,0.38732980932927175,0.38732980932927175,0.38732980932927186,451.8
macro avg,0.36211456218174265,0.3936547710127626,0.3578817090539371,451.8
weighted avg,0.4624246321290988,0.38732980932927175,0.4057536178575816,451.8
accuracy,0.38732980932927175,0.38732980932927175,0.38732980932927175,0.38732980932927175
