,precision,recall,f1-score,support
negative,0.3479034531360113,0.2255293429688591,0.2720383920407804,60.6
neutral,0.8058438649206054,0.5743181313246244,0.6704787050226628,277.2
positive,0.38885575482056567,0.7383516483516483,0.5085345588897103,114.0
micro avg,0.568831458428547,0.568831458428547,0.568831458428547,451.8
macro avg,0.514201024292394,0.5127330408817106,0.4836838853177178,451.8
weighted avg,0.640509474378799,0.568831458428547,0.577010301447207,451.8
accuracy,0.568831458428547,0.568831458428547,0.568831458428547,0.568831458428547
