,precision,recall,f1-score,support
negative,0.37719298245614036,0.4387755102040816,0.4056603773584906,98.0
neutral,0.651702786377709,0.8470824949698189,0.7366579177602801,497.0
positive,0.6265060240963856,0.20967741935483872,0.31419939577039274,248.0
micro avg,0.6120996441281139,0.6120996441281139,0.6120996441281139,843.0
macro avg,0.5518005976434116,0.49851180817624646,0.4855058969630545,843.0
weighted avg,0.6123780439932701,0.6120996441281139,0.573896977768741,843.0
accuracy,0.6120996441281139,0.6120996441281139,0.6120996441281139,0.6120996441281139
