,precision,recall,f1-score,support
negative,0.211864406779661,0.43103448275862066,0.28409090909090906,116.0
neutral,0.6158357771260997,0.36395147313691506,0.4575163398692811,577.0
positive,0.309462915601023,0.44,0.36336336336336333,275.0
micro avg,0.39359504132231404,0.39359504132231404,0.39359504132231404,968.0
macro avg,0.37905436650226126,0.4116619852985119,0.36832353744118446,968.0
weighted avg,0.4803882400604148,0.39359504132231404,0.40998594884715456,968.0
accuracy,0.39359504132231404,0.39359504132231404,0.39359504132231404,0.39359504132231404
