,precision,recall,f1-score,support
negative,0.45555555555555555,0.5061728395061729,0.4795321637426901,81.0
neutral,0.7034358047016275,0.9088785046728972,0.7930682976554536,428.0
positive,0.723404255319149,0.1878453038674033,0.29824561403508776,181.0
micro avg,0.672463768115942,0.672463768115942,0.672463768115942,690.0
macro avg,0.6274652051921107,0.5342988826821579,0.5236153584777438,690.0
weighted avg,0.6795749197464674,0.672463768115942,0.6264605692754246,690.0
accuracy,0.672463768115942,0.672463768115942,0.672463768115942,0.672463768115942
