,precision,recall,f1-score,support
negative,0.348993288590604,0.4262295081967213,0.38376383763837635,122.0
neutral,0.6390041493775933,0.5310344827586206,0.5800376647834274,580.0
positive,0.3560830860534125,0.45112781954887216,0.39800995024875624,266.0
micro avg,0.49586776859504134,0.49586776859504134,0.49586776859504134,968.0
macro avg,0.4480268413405366,0.469463936834738,0.45393715089018666,968.0
weighted avg,0.5247083561335387,0.49586776859504134,0.5052806617070651,968.0
accuracy,0.49586776859504134,0.49586776859504134,0.49586776859504134,0.49586776859504134
