,precision,recall,f1-score,support
negative,0.38095238095238093,0.39344262295081966,0.3870967741935484,122.0
neutral,0.6717451523545707,0.8362068965517241,0.7450076804915514,580.0
positive,0.6083333333333333,0.2744360902255639,0.37823834196891193,266.0
micro avg,0.6260330578512396,0.6260330578512396,0.6260330578512396,968.0
macro avg,0.5536769555467617,0.5013618699093693,0.5034475988846706,968.0
weighted avg,0.6176705015583761,0.6260330578512396,0.5991132852277307,968.0
accuracy,0.6260330578512396,0.6260330578512396,0.6260330578512396,0.6260330578512396
