,precision,recall,f1-score,support
negative,0.5671641791044776,0.7238095238095238,0.6359832635983264,105.0
neutral,0.8070796460176991,0.8669201520912547,0.8359303391384052,526.0
positive,0.7482517482517482,0.5071090047393365,0.6045197740112994,211.0
micro avg,0.7589073634204275,0.7589073634204275,0.7589073634204275,842.0
macro avg,0.707498524457975,0.6992795602133718,0.6921444589160103,842.0
weighted avg,0.7624195385895473,0.7589073634204275,0.7530062629228143,842.0
accuracy,0.7589073634204275,0.7589073634204275,0.7589073634204275,0.7589073634204275
