,precision,recall,f1-score,support
negative,0.37340085792771216,0.2825072460746085,0.32140029017342603,84.0
neutral,0.7971562789426125,0.5420316955825604,0.6449459123348245,428.0
positive,0.3874709116102196,0.7306845024268069,0.5059812908791052,177.4
micro avg,0.5590366210218548,0.5590366210218548,0.5590366210218548,689.4
macro avg,0.5193426828268481,0.5184078146946586,0.4907758311291185,689.4
weighted avg,0.6409355720085108,0.5590366210218548,0.5701909205355047,689.4
accuracy,0.5590366210218548,0.5590366210218548,0.5590366210218548,0.5590366210218548
