,precision,recall,f1-score,support
negative,0.425,0.25757575757575757,0.32075471698113206,66.0
neutral,0.8298969072164949,0.568904593639576,0.6750524109014675,283.0
positive,0.3789954337899543,0.7980769230769231,0.5139318885448916,104.0
micro avg,0.5761589403973509,0.5761589403973509,0.5761589403973509,453.0
macro avg,0.5446307803354831,0.5415190914307523,0.5032463388091637,453.0
weighted avg,0.6673870857757689,0.5761589403973509,0.5864427373389376,453.0
accuracy,0.5761589403973509,0.5761589403973509,0.5761589403973509,0.5761589403973509
