,precision,recall,f1-score,support
negative,0.22682513777026142,0.4465354209390706,0.30064041982913836,120.8
neutral,0.6070328055632153,0.36000269527141693,0.451846338962471,573.8
positive,0.31686113573850905,0.4528183364866547,0.37282560803650355,272.4
micro avg,0.39689620203848575,0.39689620203848575,0.39689620203848575,967.0
macro avg,0.3835730263573285,0.41978548423238077,0.3751041222760377,967.0
weighted avg,0.47778382861106455,0.39689620203848575,0.4107022550957626,967.0
accuracy,0.39689620203848575,0.39689620203848575,0.39689620203848575,0.39689620203848575
