,precision,recall,f1-score,support
negative,0.39655172413793105,0.4107142857142857,0.4035087719298246,56.0
neutral,0.675,0.9135338345864662,0.7763578274760384,266.0
positive,0.6470588235294118,0.16923076923076924,0.2682926829268293,130.0
micro avg,0.6371681415929203,0.6371681415929203,0.6371681415929203,452.0
macro avg,0.572870182555781,0.4978262965105071,0.4827197607775641,452.0
weighted avg,0.6324658044481143,0.6371681415929203,0.5840392082238588,452.0
accuracy,0.6371681415929203,0.6371681415929203,0.6371681415929203,0.6371681415929203
