,precision,recall,f1-score,support
negative,0.26666666666666666,0.5,0.3478260869565218,56.0
neutral,0.5561797752808989,0.37218045112781956,0.44594594594594594,266.0
positive,0.2603550295857988,0.3384615384615385,0.29431438127090304,130.0
micro avg,0.37831858407079644,0.37831858407079644,0.3783185840707965,452.0
macro avg,0.36106715717778815,0.4035473298631193,0.3626954713911236,452.0
weighted avg,0.4352285562039962,0.37831858407079644,0.3901786549920448,452.0
accuracy,0.37831858407079644,0.37831858407079644,0.37831858407079644,0.37831858407079644
